date	Both	Female	Male	NA	No	needs label
1950 Jan 1	2.0	22.0	56.0	0	0	0
1951 Jan 1	0	29.0	67.0	0	0	0
1952 Jan 1	0	27.0	59.0	0	0	1.0
1953 Jan 1	2.0	16.0	57.0	0	0	0
1954 Jan 1	0	21.0	53.0	0	0	0
1955 Jan 1	0	25.0	55.0	0	0	0
1956 Jan 1	1.0	22.0	55.0	1.0	0	0
1957 Jan 1	3.0	22.0	56.0	0	0	3.0
1958 Jan 1	3.0	20.0	54.0	0	0	2.0
1959 Jan 1	2.0	18.0	56.0	0	0	1.0
1960 Jan 1	1.0	18.0	56.0	0	0	0
1961 Jan 1	2.0	21.0	48.0	0	0	0
1962 Jan 1	4.0	15.0	49.0	0	0	0
1963 Jan 1	0	11.0	23.0	0	0	0
1964 Jan 1	0	7.0	30.0	0	0	0
1965 Jan 1	2.0	8.0	25.0	0	0	0
1966 Jan 1	2.0	12.0	20.0	0	0	0
1967 Jan 1	0	8.0	30.0	0	0	0
1968 Jan 1	1.0	6.0	27.0	0	0	0
1969 Jan 1	0	16.0	27.0	0	0	0
1970 Jan 1	0	14.0	23.0	0	0	0
1971 Jan 1	0	12.0	34.0	0	0	0
1972 Jan 1	0	9.0	30.0	0	0	0
1973 Jan 1	0	13.0	27.0	0	0	0
1974 Jan 1	0	9.0	34.0	0	0	0
1975 Jan 1	0	5.0	31.0	0	0	0
1976 Jan 1	1.0	11.0	31.0	0	0	0
1977 Jan 1	2.0	15.0	34.0	0	0	0
1978 Jan 1	0	13.0	31.0	0	0	1.0
1979 Jan 1	0	14.0	46.0	0	0	0
1980 Jan 1	1.0	20.0	43.0	0	0	0
1981 Jan 1	1.0	16.0	47.0	0	0	0
1982 Jan 1	1.0	15.0	52.0	0	0	0
1983 Jan 1	0	21.0	41.0	0	0	0
1984 Jan 1	1.0	26.0	50.0	0	0	0
1985 Jan 1	0	20.0	58.0	0	0	0
1986 Jan 1	2.0	21.0	56.0	0	0	0
1987 Jan 1	0	21.0	62.0	0	0	0
1988 Jan 1	1.0	17.0	55.0	0	0	0
1989 Jan 1	0	24.0	62.0	0	0	0
1990 Jan 1	3.0	25.0	64.0	0	0	0
1991 Jan 1	3.0	36.0	55.0	0	0	0
1992 Jan 1	2.0	38.0	52.0	0	0	0
1993 Jan 1	2.0	31.0	63.0	0	0	0
1994 Jan 1	4.0	34.0	58.0	0	0	1.0
1995 Jan 1	2.0	31.0	60.0	1.0	1.0	0
1996 Jan 1	2.0	37.0	64.0	0	0	0
1997 Jan 1	3.0	43.0	67.0	0	0	0
1998 Jan 1	2.0	44.0	59.0	0	0	0
1999 Jan 1	2.0	49.0	61.0	0	0	0
2000 Jan 1	2.0	56.0	68.0	0	0	1.0
2001 Jan 1	2.0	70.0	71.0	0	0	0
2002 Jan 1	2.0	62.0	78.0	0	0	0
2003 Jan 1	2.0	63.0	84.0	0	0	0
2004 Jan 1	1.0	72.0	74.0	0	0	0
2005 Jan 1	5.0	69.0	80.0	0	0	1.0
2006 Jan 1	2.0	81.0	91.0	0	0	1.0
2007 Jan 1	1.0	80.0	100.0	0	0	0
2008 Jan 1	2.0	86.0	99.0	2.0	0	0
2009 Jan 1	3.0	94.0	109.0	0	0	0
2010 Jan 1	9.0	91.0	108.0	0	0	0
2011 Jan 1	6.0	87.0	105.0	0	0	5.0
2012 Jan 1	4.0	95.0	105.0	0	0	5.0
2013 Jan 1	5.0	99.0	107.0	0	0	4.0
2014 Jan 1	5.0	91.0	113.0	0	0	2.0
2015 Jan 1	5.0	83.0	103.0	0	0	0
2016 Jan 1	4.0	84.0	90.0	0	0	0
2017 Jan 1	2.0	17.0	28.0	0	0	1.0
