date	adventure	domestic	fsf	historical	horror	mystery	other	romance	spy_and_politics	suspense	zz_needs label	zz_no genre
1950	2.0	0.0	0.0	1.0	0.0	0.0	3.0	3.0	1.0	1.0	5.0	64.0
1951	3.0	0.0	0.0	3.0	0.0	2.0	3.0	1.0	2.0	0.0	5.0	77.0
1952	5.0	2.0	1.0	1.0	1.0	2.0	2.0	4.0	1.0	0.0	6.0	62.0
1953	4.0	3.0	1.0	2.0	0.0	1.0	2.0	4.0	2.0	0.0	7.0	49.0
1954	1.0	4.0	0.0	4.0	0.0	2.0	4.0	1.0	0.0	0.0	4.0	54.0
1955	1.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	0.0	5.0	65.0
1956	3.0	1.0	0.0	1.0	0.0	0.0	2.0	4.0	2.0	0.0	5.0	61.0
1957	4.0	2.0	2.0	1.0	0.0	0.0	4.0	6.0	2.0	0.0	8.0	55.0
1958	2.0	3.0	1.0	3.0	0.0	2.0	1.0	5.0	5.0	0.0	4.0	53.0
1959	2.0	0.0	0.0	1.0	0.0	2.0	4.0	4.0	4.0	1.0	3.0	56.0
1960	1.0	1.0	0.0	0.0	0.0	5.0	4.0	1.0	1.0	1.0	3.0	58.0
1961	1.0	2.0	0.0	0.0	0.0	1.0	5.0	4.0	0.0	0.0	1.0	57.0
1962	1.0	0.0	1.0	1.0	1.0	2.0	6.0	2.0	1.0	0.0	2.0	51.0
1963	1.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	1.0	0.0	1.0	24.0
1964	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	30.0
1965	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	5.0	0.0	0.0	25.0
1966	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	26.0
1967	2.0	3.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	28.0
1968	1.0	0.0	1.0	1.0	1.0	0.0	4.0	0.0	3.0	0.0	1.0	22.0
1969	1.0	1.0	1.0	2.0	0.0	4.0	2.0	4.0	1.0	1.0	1.0	25.0
1970	1.0	2.0	1.0	1.0	1.0	3.0	1.0	4.0	0.0	0.0	0.0	23.0
1971	2.0	4.0	0.0	0.0	1.0	5.0	0.0	0.0	2.0	0.0	0.0	32.0
1972	2.0	0.0	1.0	0.0	0.0	5.0	2.0	1.0	1.0	0.0	0.0	27.0
1973	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	0.0	0.0	27.0
1974	4.0	1.0	0.0	2.0	0.0	4.0	1.0	3.0	7.0	0.0	0.0	21.0
1975	5.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	6.0	0.0	0.0	17.0
1976	4.0	0.0	1.0	0.0	1.0	7.0	0.0	1.0	2.0	0.0	0.0	27.0
1977	3.0	1.0	3.0	1.0	1.0	6.0	0.0	2.0	3.0	0.0	0.0	31.0
1978	2.0	3.0	1.0	1.0	0.0	4.0	2.0	2.0	5.0	1.0	1.0	23.0
1979	2.0	2.0	1.0	0.0	2.0	7.0	3.0	2.0	6.0	0.0	0.0	35.0
1980	3.0	1.0	4.0	0.0	2.0	7.0	3.0	3.0	7.0	0.0	0.0	34.0
1981	2.0	1.0	5.0	1.0	2.0	6.0	3.0	5.0	3.0	0.0	0.0	36.0
1982	1.0	4.0	7.0	3.0	3.0	5.0	1.0	4.0	4.0	2.0	1.0	33.0
1983	1.0	2.0	12.0	0.0	6.0	4.0	1.0	3.0	4.0	2.0	1.0	26.0
1984	3.0	3.0	7.0	1.0	3.0	7.0	4.0	3.0	5.0	0.0	1.0	40.0
1985	3.0	2.0	8.0	2.0	4.0	6.0	3.0	4.0	4.0	0.0	0.0	42.0
1986	5.0	3.0	12.0	2.0	4.0	7.0	3.0	4.0	6.0	1.0	0.0	32.0
1987	4.0	3.0	11.0	3.0	7.0	5.0	3.0	7.0	5.0	0.0	0.0	35.0
