letter	frequency	group
A	0.00074	potatoes
B	0.01974	potatoes
C	0.0015	potatoes
D	0.0236	potatoes
E	0.00978	potatoes
F	0.02758	potatoes
G	0.09056	potatoes
H	0.06327	potatoes
I	0.05987	potatoes
J	0.00095	potatoes
K	0.01929	potatoes
L	0.07507	potatoes
M	0.06749	potatoes
N	0.02406	potatoes
O	0.04025	potatoes
P	0.00772	potatoes
Q	0.00153	potatoes
R	0.06966	potatoes
S	0.06094	potatoes
T	0.02015	potatoes
U	0.02288	potatoes
V	0.12702	potatoes
W	0.04253	potatoes
X	0.02782	potatoes
Y	0.01492	potatoes
Z	0.08167	potatoes
A	0.00074	carrots
B	0.01974	carrots
C	0.0015	carrots
D	0.0236	carrots
E	0.00978	carrots
F	0.02758	carrots
G	0.09056	carrots
H	0.06327	carrots
I	0.05987	carrots
J	0.00095	carrots
K	0.01929	carrots
L	0.07507	carrots
M	0.06749	carrots
N	0.02406	carrots
O	0.04025	carrots
P	0.00772	carrots
Q	0.00153	carrots
R	0.06966	carrots
S	0.06094	carrots
T	0.02015	carrots
U	0.02288	carrots
V	0.12702	carrots
W	0.04253	carrots
X	0.02782	carrots
Y	0.01492	carrots
A	0.00074	green beans
B	0.01974	green beans
C	0.0015	green beans
D	0.0236	green beans
E	0.00978	green beans
F	0.02758	green beans
G	0.09056	green beans
H	0.06327	green beans
I	0.05987	green beans
J	0.00095	green beans
K	0.01929	green beans
L	0.07507	green beans
M	0.06749	green beans
N	0.02406	green beans
O	0.04025	green beans
P	0.00772	green beans
Q	0.00153	green beans
R	0.06966	green beans
S	0.06094	green beans
T	0.02015	green beans
U	0.02288	green beans
V	0.12702	green beans
W	0.04253	green beans
X	0.02782	green beans
Y	0.01492	green beans
Z	0.08167	green beans
Z	0.08167	carrots
