date	adventure	domestic	fsf	historical	horror	mystery	other	romance	spy_and_politics	suspense	zz_needs label	zz_no genre
1950	2.0			1.0			4.0	2.0	1.0	1.0	5.0	64.0
1951	3.0			3.0		2.0	3.0	1.0	2.0		5.0	77.0
1952	5.0	2.0	1.0	1.0	1.0	2.0	2.0	4.0	1.0		6.0	62.0
1953	4.0	3.0	1.0	2.0		1.0	2.0	4.0	2.0		7.0	49.0
1954	1.0	4.0		4.0		2.0	4.0	1.0			4.0	54.0
1955	1.0	2.0	1.0	2.0		1.0	2.0		1.0		5.0	65.0
1956	4.0	1.0		1.0			1.0	4.0	2.0		5.0	61.0
1957	4.0	3.0	2.0	1.0			4.0	7.0	2.0		8.0	53.0
1958	2.0	3.0	1.0	3.0		2.0	1.0	6.0	5.0		4.0	52.0
1959	2.0			1.0		3.0	3.0	5.0	4.0	1.0	3.0	55.0
1960	1.0	1.0		1.0		5.0	4.0	5.0	1.0	1.0	3.0	53.0
1961	1.0	2.0		1.0		1.0	5.0	5.0			1.0	55.0
1962	2.0		1.0	1.0	1.0	2.0	6.0	2.0			2.0	51.0
1963	2.0					3.0	2.0	2.0	1.0		1.0	23.0
1964		1.0				1.0	1.0		4.0			30.0
1965		1.0		1.0		1.0		2.0	5.0			25.0
1966		1.0	1.0	1.0		2.0			3.0			26.0
1967	2.0	3.0			1.0	2.0	1.0	1.0	1.0			27.0
1968	2.0		1.0	1.0	1.0	1.0	3.0		3.0		1.0	21.0
1969	1.0	1.0	1.0	3.0		4.0	2.0	3.0	1.0	1.0	1.0	25.0
1970	1.0	2.0	1.0	2.0	1.0	3.0	1.0	3.0				23.0
1971	3.0	4.0			2.0	5.0			2.0			30.0
1972	3.0		1.0		1.0	5.0	2.0	1.0	1.0			25.0
1973	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0			27.0
1974	4.0	1.0		2.0		4.0	1.0	3.0	7.0			21.0
1975	5.0					6.0	2.0		6.0			17.0
1976	4.0		1.0		1.0	7.0		2.0	2.0			26.0
1977	3.0	1.0	3.0	1.0	1.0	6.0		3.0	3.0			30.0
1978	2.0	3.0	1.0	2.0		4.0	2.0	3.0	5.0	1.0	1.0	21.0
1979	2.0	2.0	1.0	1.0	2.0	8.0	3.0	2.0	6.0			33.0
1980	3.0	1.0	4.0		2.0	7.0	3.0	3.0	7.0			34.0
1981	2.0	1.0	5.0	1.0	2.0	6.0	3.0	5.0	3.0	1.0		35.0
1982	1.0	4.0	7.0	2.0	3.0	5.0	1.0	5.0	5.0	3.0	1.0	31.0
1983	1.0	3.0	12.0		6.0	4.0	1.0	4.0	4.0	1.0	1.0	25.0
1984	3.0	5.0	7.0	1.0	3.0	8.0	4.0	2.0	5.0		1.0	38.0
1985	3.0	2.0	8.0	2.0	4.0	7.0	3.0	4.0	4.0			41.0
1986	6.0	3.0	12.0	1.0	4.0	7.0	3.0	6.0	7.0			30.0
1987	5.0	3.0	11.0	3.0	7.0	5.0	3.0	7.0	5.0			34.0
1988	3.0	1.0	7.0	5.0	5.0	4.0	3.0	6.0	3.0	1.0		35.0
1989	6.0	2.0	7.0	4.0	4.0	12.0	3.0	7.0	6.0	1.0		34.0
1990	6.0	2.0	6.0	2.0	8.0	11.0	4.0	8.0	3.0	2.0		40.0
1991	2.0	4.0	11.0	5.0	7.0	11.0	3.0	9.0	5.0	3.0		34.0
1992	4.0	3.0	9.0	2.0	5.0	16.0	3.0	6.0	1.0	2.0		41.0
1993	6.0	3.0	10.0	1.0	7.0	14.0	2.0	6.0	3.0			44.0
1994	7.0	2.0	8.0	3.0	6.0	16.0	3.0	5.0		1.0		46.0
1995	4.0	6.0	4.0	1.0	4.0	9.0	8.0	10.0	2.0			47.0
1996	6.0	7.0	8.0	2.0	3.0	12.0	7.0	11.0	4.0			43.0
1997	5.0	2.0	5.0	4.0	4.0	13.0	9.0	7.0	2.0	2.0	1.0	59.0
1998	4.0	7.0	3.0	2.0	3.0	14.0	8.0	11.0	3.0	3.0		47.0
1999	5.0	6.0	8.0	2.0	2.0	17.0	8.0	8.0	3.0	5.0		48.0
2000	4.0	10.0	9.0	3.0	1.0	21.0	8.0	6.0	4.0	2.0		59.0
2001	4.0	15.0	8.0	2.0	3.0	15.0	8.0	5.0	6.0	8.0		69.0
2002	1.0	13.0	4.0		4.0	14.0	3.0	4.0	1.0	7.0		91.0
2003	1.0	8.0	6.0	2.0	3.0	12.0	4.0	4.0	6.0	5.0		98.0
2004		5.0	6.0	3.0	4.0	10.0	3.0	5.0	4.0	3.0		104.0
2005	2.0	11.0	13.0	3.0	6.0	7.0	6.0	5.0	2.0	10.0	1.0	89.0
2006	2.0	12.0	3.0	1.0	7.0	16.0	6.0	6.0	4.0	14.0		104.0
2007		4.0	6.0	2.0	6.0	14.0	4.0	10.0	2.0	16.0	1.0	116.0
2008	1.0	4.0	9.0	6.0	8.0	18.0	7.0	9.0	7.0	12.0		108.0
2009	5.0	6.0	4.0	4.0	8.0	18.0	6.0	4.0	4.0	16.0		131.0
2010	3.0	7.0	6.0	3.0	7.0	10.0	3.0	5.0	6.0	16.0		142.0
2011	1.0	8.0	6.0	5.0	6.0	23.0	5.0	7.0	6.0	20.0	5.0	111.0
2012	2.0	6.0	3.0	3.0	11.0	12.0	2.0	8.0	4.0	11.0	5.0	142.0
2013		3.0	4.0	1.0	7.0	16.0	6.0	1.0	5.0	10.0	4.0	158.0
2014	3.0	11.0	8.0	5.0	5.0	15.0	1.0	5.0	5.0	11.0	2.0	140.0
2015	1.0	2.0	2.0	5.0	4.0	12.0	5.0	5.0	4.0	4.0		147.0
2016		3.0	3.0	2.0	3.0	13.0	4.0	4.0	2.0	7.0		137.0
2017	1.0				1.0	2.0	1.0	1.0	1.0	2.0	3.0	36.0
